,Date,Last Price,Open Price,High Price,Low Price,Volume
251,5/11/2021,617.2,599.24,627.1,595.6,46503896
252,5/12/2021,589.89,602.49,620.41,586.765,33823648
253,5/13/2021,571.69,601.545,606.46,559.65,44184916
254,5/14/2021,589.74,583.41,592.87,570.46,33370856
255,5/17/2021,576.83,575.553,589.73,561.2,32390360
256,5/18/2021,577.87,568.0,596.25,563.38,36830568
257,5/19/2021,563.46,552.55,566.21,546.98,39578396
258,5/20/2021,586.78,575.0,588.85,571.07,30821120
259,5/21/2021,580.88,596.11,596.68,580.0,26030596
260,5/24/2021,606.44,581.6,614.48,573.65,34558088
261,5/25/2021,604.69,607.31,613.99,595.71,28005932
262,5/26/2021,619.13,607.56,626.17,601.5,28639304
263,5/27/2021,630.85,620.24,631.13,616.21,26370592
264,5/28/2021,625.22,628.5,635.59,622.38,22737038
265,6/1/2021,623.9,627.8,633.8,620.55,18084890
266,6/2/2021,605.12,620.13,623.36,599.14,23302780
267,6/3/2021,572.84,601.8,604.55,571.22,30111892
268,6/4/2021,599.05,579.71,600.61,577.2,24036896
269,6/7/2021,605.13,591.825,610.0,582.88,22543682
270,6/8/2021,603.59,623.01,623.09,595.5,26053404
271,6/9/2021,598.78,602.17,611.79,597.63,16584566
272,6/10/2021,610.12,603.88,616.59,600.5,23919606
273,6/11/2021,609.89,610.23,612.56,601.52,16205303
274,6/14/2021,617.69,612.23,625.49,609.18,20423984
275,6/15/2021,599.36,616.69,616.79,598.23,17764144
276,6/16/2021,604.87,597.535,608.5,593.5,22144128
277,6/17/2021,616.6,601.888,621.47,601.34,22701350
278,6/18/2021,623.31,613.37,628.35,611.8,24560904
279,6/21/2021,620.83,624.48,631.39,608.88,24812740
280,6/22/2021,623.71,618.25,628.569,615.5,19158892
281,6/23/2021,656.57,632.0,657.204,630.04,31099228
282,6/24/2021,679.82,674.99,697.62,667.61,45982384
283,6/25/2021,671.87,689.58,693.81,668.7,32496708
284,6/28/2021,688.72,671.64,694.7,670.32,21628160
285,6/29/2021,680.76,684.65,687.51,675.89,17381312
286,6/30/2021,679.7,679.77,692.81,678.14,18924862
287,7/1/2021,677.92,683.92,687.99,672.8,18634522
288,7/2/2021,678.9,678.98,700.0,673.26,27097374
289,7/6/2021,659.58,681.711,684.0,651.4,23284450
290,7/7/2021,644.65,664.27,665.7,638.32,18791960
291,7/8/2021,652.81,628.37,654.43,620.46,22773316
292,7/9/2021,656.95,653.185,658.91,644.69,18140548
293,7/12/2021,685.7,662.2,687.24,662.1610000000001,25927042
294,7/13/2021,668.54,686.32,693.28,666.296,20966092
295,7/14/2021,653.38,670.75,678.61,652.84,21641190
296,7/15/2021,650.6,658.39,666.14,637.88,20209572
297,7/16/2021,644.22,654.68,656.7,642.2,16370970
298,7/19/2021,646.22,629.89,647.2,621.29,21297090
299,7/20/2021,660.5,651.99,662.3919999999999,640.501,15487127
300,7/21/2021,655.29,659.61,664.86,650.29,13953338
301,7/22/2021,649.26,656.443,662.17,644.6,15105727
302,7/23/2021,643.38,646.36,648.8,637.3,14604944
303,7/26/2021,657.62,650.97,668.2,647.11,25336556
304,7/27/2021,644.78,663.4,666.5,627.24,32813290
305,7/28/2021,646.98,646.995,654.97,639.4,16006596
306,7/29/2021,677.35,649.79,683.69,648.8,30394636
307,7/30/2021,687.2,671.758,697.53,669.0,29656412
308,8/2/2021,709.67,700.0,726.94,698.4,33615764
309,8/3/2021,709.74,719.0,722.65,701.01,21620252
310,8/4/2021,710.92,711.0,724.9,708.93,17002648
311,8/5/2021,714.63,716.0,720.95,711.41,12919637
312,8/6/2021,699.1,711.9,716.33,697.63,15623049
313,8/9/2021,713.76,710.17,719.03,705.13,14715349
314,8/10/2021,709.99,713.99,716.59,701.88,13432305
315,8/11/2021,707.82,712.71,715.18,704.21,9800558
316,8/12/2021,722.25,706.34,722.8,699.4,17681686
317,8/13/2021,717.17,723.71,729.9,714.34,16731467
318,8/16/2021,686.17,705.07,709.5,676.4,23103304
319,8/17/2021,665.71,672.66,674.58,648.84,23721280
320,8/18/2021,688.99,669.748,695.77,669.35,20349376
321,8/19/2021,673.47,678.21,686.55,667.59,14313486
322,8/20/2021,680.26,682.85,692.13,673.7,14841865
323,8/23/2021,706.3,685.442,712.13,680.75,20264860
324,8/24/2021,708.49,710.68,715.22,702.64,13083071
325,8/25/2021,711.2,707.03,716.97,704.0,12645562
326,8/26/2021,701.16,708.31,715.4,697.62,13214292
327,8/27/2021,711.92,705.0,715.0,702.1,13833763
328,8/30/2021,730.91,714.715,731.0,712.73,18604220
329,8/31/2021,735.72,733.0,740.39,726.44,20855436
330,9/1/2021,734.09,734.08,741.99,731.27,13204335
331,9/2/2021,732.39,734.5,740.97,730.54,12796739
332,9/3/2021,733.57,732.2489999999999,734.0,724.2,15271045
333,9/7/2021,752.92,740.0,760.2,739.26,20039824
334,9/8/2021,753.87,761.58,764.45,740.773,18793036
335,9/9/2021,754.86,753.41,762.1,751.63,14077731
336,9/10/2021,736.27,759.6,762.61,734.52,15184170
337,9/13/2021,743.0,740.2139999999999,744.78,708.85,22952482
338,9/14/2021,744.49,742.57,754.47,736.4,18524880
339,9/15/2021,755.83,745.0,756.86,738.36,15357685
340,9/16/2021,756.99,752.83,758.91,747.61,13923393
341,9/17/2021,759.49,757.15,761.04,750.0,28204176
342,9/20/2021,730.17,734.558,742.0,718.625,24757652
343,9/21/2021,739.38,734.79,744.74,730.44,16330723
344,9/22/2021,751.94,743.5260000000001,753.67,739.12,15126272
345,9/23/2021,753.64,755.0,758.2,747.92,11947527
346,9/24/2021,774.39,745.89,774.8,744.56,21373022
347,9/27/2021,791.36,773.12,799.0,769.31,28070656
348,9/28/2021,777.56,787.2,795.64,766.18,25381422
349,9/29/2021,781.31,779.8,793.5,770.68,20942876
350,9/30/2021,775.48,781.0,789.13,775.0,17955960
351,10/1/2021,775.22,778.4,780.78,763.59,17031414
352,10/4/2021,781.53,796.5,806.97,776.12,30483340
353,10/5/2021,780.59,784.796,797.31,774.2,18432624
354,10/6/2021,782.75,776.2,786.66,773.22,14632768
355,10/7/2021,793.61,785.46,805.0,783.38,19195782
356,10/8/2021,785.49,796.21,796.38,780.91,16738604
357,10/11/2021,791.94,787.65,801.24,785.5,14200322
358,10/12/2021,805.72,800.93,812.32,796.57,22020040
359,10/13/2021,811.08,810.47,815.41,805.78,14120075
360,10/14/2021,818.32,815.49,820.25,813.35,12247170
361,10/15/2021,843.03,823.738,843.21,822.35,18924568
362,10/18/2021,870.11,851.79,875.26,851.47,24207244
363,10/19/2021,864.27,877.53,877.95,862.51,17381128
364,10/20/2021,865.8,865.35,869.49,857.38,14032052
365,10/21/2021,894.0,856.0,900.0,855.505,31481454
366,10/22/2021,909.68,895.5,910.0,890.96,22880836
367,10/25/2021,1024.86,950.53,1045.02,944.2,62852100
368,10/26/2021,1018.43,1024.69,1094.94,1001.44,62414968
369,10/27/2021,1037.86,1039.66,1070.88,1030.78,38526460
370,10/28/2021,1077.04,1068.305,1081.0,1054.2,27213172
371,10/29/2021,1114.0,1081.86,1115.21,1073.205,29918416
372,11/1/2021,1208.59,1145.0,1209.75,1118.66,56048716
373,11/2/2021,1172.0,1159.355,1208.59,1146.0,42737796
374,11/3/2021,1213.86,1177.33,1215.39,1152.62,34628520
375,11/4/2021,1229.91,1234.41,1243.49,1217.0,25397410
376,11/5/2021,1222.09,1228.0,1239.87,1208.0,21628812
377,11/8/2021,1162.94,1149.785,1197.0,1133.0,33445716
378,11/9/2021,1023.5,1173.6,1174.5,1011.52,59105836
379,11/10/2021,1067.95,1010.41,1078.1,987.31,42802720
380,11/11/2021,1063.51,1102.77,1104.97,1054.68,22396568
381,11/12/2021,1033.42,1047.5,1054.5,1019.2,25573148
382,11/15/2021,1013.39,1017.63,1031.98,978.6,34775648
383,11/16/2021,1054.73,1003.31,1057.2,1002.18,26542360
384,11/17/2021,1089.01,1063.51,1119.64,1055.5,31445364
385,11/18/2021,1096.38,1106.55,1112.0,1075.02,20898930
386,11/19/2021,1137.06,1098.87,1138.72,1092.7,21642258
387,11/22/2021,1156.87,1162.33,1201.95,1132.43,33072508
388,11/23/2021,1109.03,1167.51,1180.5,1062.7,36171700
389,11/24/2021,1116.0,1080.39,1132.77,1062.0,22560238
390,11/26/2021,1081.92,1099.47,1108.7830000000001,1081.0,11680890
391,11/29/2021,1136.99,1100.99,1142.67,1100.19,19464468
392,11/30/2021,1144.76,1144.37,1168.0,1118.0,27092038
393,12/1/2021,1095.0,1160.695,1172.84,1090.76,22934698
394,12/2/2021,1084.6,1099.06,1113.0,1056.65,24371624
395,12/3/2021,1014.97,1084.79,1090.575,1000.21,30773996
396,12/6/2021,1009.01,1001.51,1021.64,950.5,27221036
397,12/7/2021,1051.75,1044.2,1057.674,1026.81,18694856
398,12/8/2021,1068.96,1052.71,1072.38,1033.0,13968790
399,12/9/2021,1003.8,1060.64,1062.49,1002.36,19812832
400,12/10/2021,1017.03,1008.75,1020.98,982.53,19888122
401,12/13/2021,966.41,1001.09,1005.0,951.42,26198502
402,12/14/2021,958.51,945.0,966.41,930.0,23602090
403,12/15/2021,975.99,953.21,978.75,928.25,25056410
404,12/16/2021,926.92,994.5,994.98,921.85,27590484
405,12/17/2021,932.57,914.77,960.66,909.04,33626752
406,12/20/2021,899.94,910.7,921.688,893.39,18826672
407,12/21/2021,938.53,916.87,939.5,886.12,23839304
408,12/22/2021,1008.87,965.66,1015.66,957.05,31211362
409,12/23/2021,1067.0,1006.8,1072.9769999999999,997.56,30904428
410,12/27/2021,1093.94,1073.67,1117.0,1070.715,23715272
411,12/28/2021,1088.47,1109.49,1119.0,1078.42,20107968
412,12/29/2021,1086.19,1098.64,1104.0,1064.14,18718016
413,12/30/2021,1070.34,1061.33,1095.55,1053.15,15680313
414,12/31/2021,1056.78,1073.444,1082.0,1054.59,13577875
415,1/3/2022,1199.78,1147.75,1201.07,1136.04,34895348
416,1/4/2022,1149.59,1189.55,1208.0,1123.05,33416086
417,1/5/2022,1088.12,1146.65,1170.34,1081.01,26706600
418,1/6/2022,1064.7,1077.0,1088.0,1020.5,30112158
419,1/7/2022,1026.96,1080.37,1080.93,1010.0,28054916
420,1/10/2022,1058.12,1000.0,1059.1,980.0,30604960
421,1/11/2022,1064.4,1053.67,1075.85,1038.82,22021070
422,1/12/2022,1106.22,1078.85,1114.84,1072.59,27913004
423,1/13/2022,1031.56,1109.065,1115.6,1026.539,32403264
424,1/14/2022,1049.61,1019.88,1052.0,1013.3789999999999,24308136
425,1/18/2022,1030.51,1026.605,1070.79,1016.06,22329804
426,1/19/2022,995.65,1041.705,1054.67,995.0,25147496
427,1/20/2022,996.27,1009.73,1041.66,994.0,23496248
428,1/21/2022,943.9,996.34,1004.55,940.5,34472008
429,1/24/2022,930.0,904.76,933.513,851.47,50791712
430,1/25/2022,918.4,914.2,951.26,903.21,28865302
431,1/26/2022,937.41,952.43,987.69,906.0,34955760
432,1/27/2022,829.1,933.36,935.39,829.0,49036524
433,1/28/2022,846.35,831.56,857.5,792.01,44929648
434,1/31/2022,936.72,872.71,937.99,862.05,34812032
435,2/1/2022,931.25,935.21,943.7,905.0,24379446
436,2/2/2022,905.66,928.18,931.5,889.41,22264344
437,2/3/2022,891.14,882.0,937.0,880.52,26285186
438,2/4/2022,923.32,897.22,936.5,881.17,24541822
439,2/7/2022,907.34,923.79,947.77,902.709,20331488
440,2/8/2022,922.0,905.53,926.29,894.8,16909672
441,2/9/2022,932.0,935.0,946.27,920.0,17419848
442,2/10/2022,904.55,908.37,943.81,896.7,22042276
443,2/11/2022,860.0,909.63,915.96,850.7,26548624
444,2/14/2022,875.76,861.57,898.88,853.15,22585472
445,2/15/2022,922.43,900.0,923.0,893.377,19216514
446,2/16/2022,923.39,914.05,926.43,901.21,17098132
447,2/17/2022,876.35,913.26,918.5,874.1,18392806
448,2/18/2022,856.98,886.0,886.87,837.61,22833948
449,2/22/2022,821.53,834.13,856.7339999999999,801.1,27762734
450,2/23/2022,764.04,830.43,835.3,760.56,31752336
451,2/24/2022,800.77,700.39,802.48,700.0,45107424
452,2/25/2022,809.87,809.23,819.5,782.4010000000001,25355920
453,2/28/2022,870.43,815.01,876.86,814.7080000000001,33002288
454,3/1/2022,864.37,869.68,889.88,853.78,24922288
455,3/2/2022,879.89,872.13,886.48,844.2719999999999,24881146
456,3/3/2022,839.29,878.77,886.439,832.6,20541168
457,3/4/2022,838.29,849.1,855.65,825.1610000000001,22393288
458,3/7/2022,804.58,856.3,866.14,804.57,24164724
459,3/8/2022,824.4,795.53,849.99,782.17,26799702
460,3/9/2022,858.97,839.48,860.56,832.01,19727992
461,3/10/2022,838.3,851.45,854.45,810.36,19549548
462,3/11/2022,795.35,840.197,843.802,793.77,22345722
463,3/14/2022,766.37,780.61,800.7,756.04,23717420
464,3/15/2022,801.89,775.27,805.57,756.57,22280380
465,3/16/2022,840.23,809.0,842.0,802.26,28009608
466,3/17/2022,871.6,830.99,875.0,825.7180000000001,22194324
467,3/18/2022,905.39,874.49,907.85,867.39,33471396
468,3/21/2022,921.16,914.98,942.85,907.09,27327216
469,3/22/2022,993.98,930.0,997.86,921.75,35289520
470,3/23/2022,999.11,979.94,1040.7,976.4,40225384
471,3/24/2022,1013.92,1009.73,1024.49,988.8,22973626
472,3/25/2022,1010.64,1008.0,1021.8,997.32,20677182
473,3/28/2022,1091.84,1065.1,1097.88,1053.6,34168692
474,3/29/2022,1099.57,1107.99,1114.77,1073.11,24538272
475,3/30/2022,1093.99,1091.17,1113.95,1084.0,19955002
476,3/31/2022,1077.6,1094.57,1103.14,1076.641,16330919
477,4/1/2022,1084.59,1081.15,1094.75,1066.64,18087740
478,4/4/2022,1145.45,1089.38,1149.91,1072.53,27392568
479,4/5/2022,1091.26,1136.3,1152.87,1087.3,26691672
480,4/6/2022,1045.76,1073.47,1079.0,1027.7,29782844
481,4/7/2022,1057.26,1052.39,1076.59,1021.54,26482352
482,4/8/2022,1025.49,1043.21,1048.44,1022.435,18337896
483,4/11/2022,975.93,980.4,1008.4680000000001,974.64,19785736
484,4/12/2022,986.95,997.64,1021.192,976.6,21992032
485,4/13/2022,1022.37,981.075,1026.24,973.097,18373736
486,4/14/2022,985.0,999.29,1012.71,982.19,19474136
487,4/18/2022,1004.29,989.03,1014.92,973.41,17238408
488,4/19/2022,1028.15,1005.06,1034.94,995.325,16615944
489,4/20/2022,977.2,1030.0,1034.0,975.25,23570442
490,4/21/2022,1008.78,1074.73,1092.22,996.415,35138780
491,4/22/2022,1005.05,1014.91,1034.85,994.0,23232186
492,4/25/2022,998.02,978.97,1008.62,975.3,22780444
493,4/26/2022,876.42,995.43,1000.0,875.0,45377888
494,4/27/2022,881.51,898.58,918.0,877.36,25652132
495,4/28/2022,877.51,899.98,900.0,821.7,41649508
496,4/29/2022,870.76,902.25,934.4,870.0,29377664
497,5/2/2022,902.94,860.77,906.36,848.03,25260456
498,5/3/2022,909.25,903.18,924.08,888.59,21236524
499,5/4/2022,952.62,903.94,955.5,885.28,27214568
500,5/5/2022,873.28,939.21,945.6,857.7,30839732
501,5/6/2022,865.65,887.0,888.0,843.105,24301036
502,5/9/2022,787.11,836.45,845.63,781.15,30270074
503,5/10/2022,800.04,819.31,825.36,774.25,28133876
504,5/11/2022,734.0,795.0,809.77,727.2,32408152
505,5/12/2022,728.0,701.0,759.66,680.0,46770952
506,5/13/2022,769.59,773.48,787.35,751.565,30716908
